timestamp,open,high,low,close,volume
2024-01-18,0.05,3.333,0.05,2.17085,219306575.7
2024-01-19,2.1703,2.578,2.08888,2.31273,138819520.3
2024-01-20,2.31274,2.4805,2.15288,2.26725,56736256.1
2024-01-21,2.26734,2.689,2.19126,2.67282,73032487.4
2024-01-22,2.67271,2.8,2.32,2.43525,89678638.8
2024-01-23,2.43493,2.64499,2.2,2.62945,72470932.9
2024-01-24,2.63087,3.28,2.47039,3.2468,125962985.5
2024-01-25,3.24676,3.33,2.84971,2.97699,85748986.2
2024-01-26,2.97756,3.51657,2.836,3.48201,64792427.6
2024-01-27,3.48175,3.85,3.33202,3.60673,58148783.6
2024-01-28,3.60499,3.89,3.39092,3.47891,52142602.9
2024-01-29,3.47888,3.81759,3.444,3.70788,45028872.5
2024-01-30,3.70783,3.78843,3.32,3.37202,40862530.9
2024-01-31,3.3716,3.46179,3.0,3.02826,48620528.6
2024-02-01,3.02815,3.19874,2.8794,3.03344,38382942.3
2024-02-02,3.03365,3.10378,2.90278,3.03188,23162635.4
2024-02-03,3.03188,3.08,2.85601,2.8782,18779829.3
2024-02-04,2.87801,2.87814,2.6,2.61836,32014859.0
2024-02-05,2.6186,2.85444,2.48566,2.72818,38345479.9
2024-02-06,2.72819,2.72819,2.57542,2.58886,21353739.6
2024-02-07,2.58886,2.81719,2.53315,2.74698,26872226.6
2024-02-08,2.74701,2.96799,2.70321,2.71229,31558880.9
2024-02-09,2.71232,2.845,2.71,2.79049,24751792.6
2024-02-10,2.7902,2.98081,2.78999,2.83039,23693819.6
2024-02-11,2.83033,3.03831,2.82026,2.85034,20014480.4
2024-02-12,2.85137,2.95205,2.7,2.86983,24556553.7
2024-02-13,2.86987,2.92,2.637,2.76512,19231814.5
2024-02-14,2.76481,3.14499,2.70918,3.11922,40749873.1
2024-02-15,3.11902,3.16721,2.92271,2.98924,26791141.3
2024-02-16,2.9892,3.08086,2.861,2.96411,20692052.1
2024-02-17,2.96506,3.02,2.76581,2.91007,15528185.1
2024-02-18,2.91012,3.1,2.86823,2.97952,25945362.2
2024-02-19,2.98,3.27111,2.966,3.1324,38732538.9
2024-02-20,3.13242,3.27,2.91524,3.11142,37415045.4
2024-02-21,3.11132,3.24412,2.976,3.20179,39299602.2
2024-02-22,3.20119,3.48999,3.06786,3.24218,36313947.8
2024-02-23,3.24239,3.32599,2.92583,2.96478,27430516.3
2024-02-24,2.96553,3.03,2.763,2.96488,19313207.3
2024-02-25,2.96608,3.06,2.91399,2.94579,15339526.2
2024-02-26,2.94619,3.06355,2.85,3.043,18456840.1
2024-02-27,3.043,3.072,2.826,2.904,35885011.0
2024-02-28,2.904,2.986,2.179,2.682,31688815.5
2024-02-29,2.682,2.912,2.561,2.662,29132123.4
2024-03-01,2.663,2.806,2.66,2.779,16031563.8
2024-03-02,2.78,2.917,2.733,2.911,17700134.2
2024-03-03,2.911,3.03,2.68,2.844,23890145.0
2024-03-04,2.845,2.9,2.67,2.742,21932967.1
2024-03-05,2.741,3.16,2.37,2.805,58294846.6
2024-03-06,2.805,3.15,2.781,3.148,34065961.7
2024-03-07,3.148,3.646,3.04,3.461,41477126.5
2024-03-08,3.462,3.666,3.25,3.534,26361787.3
2024-03-09,3.534,3.747,3.465,3.573,17466478.9
2024-03-10,3.574,3.689,3.333,3.497,16921699.7
2024-03-11,3.498,4.001,3.3,3.857,23862191.8
2024-03-12,3.857,4.086,3.55,3.933,25184601.2
2024-03-13,3.932,4.044,3.707,3.742,19232203.2
2024-03-14,3.741,3.86,3.355,3.606,20614976.4
2024-03-15,3.606,3.67,2.95,3.345,25932771.0
2024-03-16,3.346,3.526,3.0,3.071,18244544.9
2024-03-17,3.071,3.245,2.914,3.192,12385783.6
2024-03-18,3.192,3.244,2.855,2.908,14892208.7
2024-03-19,2.908,2.997,2.555,2.763,26690244.4
2024-03-20,2.763,3.081,2.633,3.044,21556699.1
2024-03-21,3.043,3.189,2.987,3.119,15300306.2
2024-03-22,3.118,3.18,2.88,3.0,11197885.5
2024-03-23,3.0,3.098,2.935,2.968,6407361.3
2024-03-24,2.968,3.093,2.914,3.076,6566711.9
2024-03-25,3.077,3.237,3.029,3.195,13120431.2
2024-03-26,3.196,3.4,3.078,3.172,16562857.4
2024-03-27,3.172,3.274,3.044,3.087,15606230.2
2024-03-28,3.087,3.194,3.0,3.172,11349823.5
2024-03-29,3.172,3.203,2.953,3.003,9027533.4
2024-03-30,3.003,3.043,2.902,2.933,7212632.6
2024-03-31,2.934,3.024,2.913,3.02,6167430.2
2024-04-01,3.018,3.061,2.753,2.843,14357018.8
2024-04-02,2.843,2.845,2.65,2.729,13877199.2
2024-04-03,2.729,2.859,2.616,2.73,11640438.5
2024-04-04,2.729,2.97,2.653,2.841,11562166.6
2024-04-05,2.841,2.854,2.649,2.705,9045791.2
2024-04-06,2.704,2.832,2.691,2.81,5423669.2
2024-04-07,2.81,3.003,2.805,2.977,7757310.4
2024-04-08,2.978,3.06,2.873,3.024,12110991.3
2024-04-09,3.023,3.03,2.709,2.737,13109542.7
2024-04-10,2.737,2.811,2.583,2.753,9715974.0
2024-04-11,2.754,2.776,2.632,2.661,6140281.4
2024-04-12,2.66,2.713,1.901,2.114,26371181.6
2024-04-13,2.114,2.274,1.518,1.857,32773552.7
2024-04-14,1.856,2.25,1.781,2.112,22465122.6
2024-04-15,2.111,2.217,1.863,1.968,13631409.5
2024-04-16,1.967,2.018,1.862,1.96,9829254.0
2024-04-17,1.96,1.989,1.805,1.824,12748845.3
2024-04-18,1.825,1.878,1.725,1.824,13270009.8
2024-04-19,1.825,1.95,1.637,1.803,13739007.8
2024-04-20,1.804,2.002,1.778,1.982,8660416.1
2024-04-21,1.982,2.003,1.885,1.928,7318740.5
2024-04-22,1.928,2.049,1.915,2.024,6985643.9
2024-04-23,2.024,2.054,1.92,1.93,7238029.3
2024-04-24,1.93,2.031,1.791,1.815,11142128.8
2024-04-25,1.815,1.873,1.745,1.815,7837247.2
2024-04-26,1.815,1.828,1.725,1.744,6656812.1
2024-04-27,1.744,1.82,1.666,1.812,7100687.9
2024-04-28,1.812,1.907,1.758,1.77,7906959.0
2024-04-29,1.769,1.826,1.704,1.803,5764057.4
2024-04-30,1.803,1.832,1.611,1.704,10545099.0
2024-05-01,1.703,1.718,1.503,1.642,17387164.0
2024-05-02,1.642,1.739,1.587,1.705,6800178.1
2024-05-03,1.705,1.813,1.68,1.796,7654160.6
2024-05-04,1.795,1.825,1.772,1.776,4854334.7
2024-05-05,1.776,1.862,1.725,1.82,5497193.7
2024-05-06,1.819,1.906,1.735,1.739,9134066.9
2024-05-07,1.739,1.764,1.67,1.68,7458644.2
2024-05-08,1.679,1.694,1.618,1.65,6787747.1
2024-05-09,1.65,1.731,1.62,1.713,4056863.2
2024-05-10,1.713,1.731,1.616,1.652,5133622.3
2024-05-11,1.653,1.691,1.635,1.641,2963525.8
2024-05-12,1.641,1.673,1.613,1.632,4357307.8
2024-05-13,1.631,1.663,1.54,1.596,6933068.6
2024-05-14,1.596,1.608,1.528,1.538,5583344.6
2024-05-15,1.537,1.652,1.532,1.623,7411987.9
2024-05-16,1.622,1.656,1.524,1.552,7186052.9
2024-05-17,1.552,1.632,1.541,1.581,8722234.1
2024-05-18,1.581,1.691,1.561,1.574,7541773.9
2024-05-19,1.574,1.594,1.424,1.444,10180324.1
2024-05-20,1.444,1.647,1.371,1.63,17332218.6
2024-05-21,1.631,1.73,1.595,1.671,17124164.1
2024-05-22,1.67,1.682,1.54,1.608,11758032.1
2024-05-23,1.608,1.818,1.601,1.79,27523023.9
2024-05-24,1.789,1.844,1.656,1.733,14647312.9
2024-05-25,1.734,1.783,1.701,1.713,8333790.6
2024-05-26,1.713,1.743,1.676,1.703,7675806.9
2024-05-27,1.703,1.825,1.667,1.794,13580441.8
2024-05-28,1.794,1.867,1.71,1.834,11186306.7
2024-05-29,1.834,1.884,1.744,1.751,13213758.2
2024-05-30,1.751,1.796,1.7,1.738,7812070.8
2024-05-31,1.738,1.8,1.706,1.735,6947492.1
2024-06-01,1.735,1.77,1.701,1.762,4920380.8
2024-06-02,1.762,1.852,1.762,1.783,11161796.8
2024-06-03,1.782,1.843,1.71,1.735,11137382.7
2024-06-04,1.734,1.802,1.724,1.774,7492207.8
2024-06-05,1.775,1.892,1.775,1.843,11845225.1
2024-06-06,1.844,1.868,1.766,1.798,7279254.0
2024-06-07,1.799,1.827,1.45,1.6,16313410.1
2024-06-08,1.601,1.639,1.492,1.531,10426892.3
2024-06-09,1.531,1.594,1.517,1.588,5479616.2
2024-06-10,1.588,1.595,1.502,1.521,6315950.6
2024-06-11,1.521,1.539,1.392,1.419,13645587.4
2024-06-12,1.419,1.518,1.356,1.451,11768511.6
2024-06-13,1.45,1.451,1.354,1.379,8080262.2
2024-06-14,1.38,1.408,1.217,1.249,17070660.2
2024-06-15,1.249,1.308,1.246,1.276,8434495.3
2024-06-16,1.277,1.302,1.238,1.287,7648781.5
2024-06-17,1.287,1.3,1.131,1.156,15017939.1
2024-06-18,1.157,1.163,0.966,1.016,27831206.2
2024-06-19,1.016,1.062,0.965,1.002,22007993.5
2024-06-20,1.001,1.074,0.985,1.011,15854745.9
2024-06-21,1.011,1.038,0.986,1.002,12635903.9
2024-06-22,1.002,1.024,0.978,1.001,6675286.9
2024-06-23,1.001,1.032,0.951,0.965,8801900.3
2024-06-24,0.965,1.024,0.92,1.016,22148365.3
2024-06-25,1.015,1.058,1.014,1.039,9002727.3
2024-06-26,1.039,1.059,0.974,1.001,9263689.4
2024-06-27,1.001,1.18,0.996,1.08,29575366.0
2024-06-28,1.08,1.083,0.988,0.992,16353258.8
2024-06-29,0.991,1.04,0.986,1.01,6959729.4
2024-06-30,1.01,1.055,0.994,1.051,8775595.0
2024-07-01,1.052,1.077,1.013,1.017,8026522.3
2024-07-02,1.016,1.025,0.991,1.017,7527947.8
2024-07-03,1.017,1.03,0.96,0.974,9662642.4
2024-07-04,0.974,0.984,0.892,0.893,22499775.5
2024-07-05,0.893,0.894,0.725,0.752,38653764.2
2024-07-06,0.751,0.845,0.73,0.831,15681789.6
2024-07-07,0.83,0.838,0.776,0.784,11665036.0
2024-07-08,0.784,0.889,0.745,0.847,21344744.6
2024-07-09,0.847,0.867,0.83,0.854,11245419.9
2024-07-10,0.853,0.891,0.84,0.865,10799683.3
